Site_ID,Site_Name,Country,Latitude,Longitude,Phytogeographic_Zone,Phytogeographic_Zone1,Temperature_Humidity,Subregion,Lab_ID,CRA,Error,d13C,Material,Species,Context,Site_Function,Period,Culture,Comments,Classes,Reliability_Class,Exclusion_Reason,Reliability_SPD,Reliability_Aoristic,References,Radon_B,PPND,CalPal,CONTEXT,NERD,p3k14C,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,'Ain Ghazal,Jordan,31.98800,35.97600,Mediterranean,Mediterranean,Mesic,TransjordanianPlateau,Erl-14761,5594,40,-19,Bone,Unspecified,"rubble layer lowest part Trench section 1 (sq. 4457),  AG18",Multi-phase settlement (structures etc.),Chalcolithic,Chalcolithic,,TSL,Outlier #3c,d13C; Potential marine contribution to diet,No,No,Zielhofer et al. 2012  Flohr et al. 2016,,,,,X,,
1,'Ain Ghazal,Jordan,31.98800,35.97600,Mediterranean,Mediterranean,Mesic,TransjordanianPlateau,UCR-1723,11875,650,,Charcoal,Unspecified,loc. 3076.159,Multi-phase settlement (structures etc.),Pre-Pottery Neolithic,LPPNB,,TIA,Outlier #1c,Error value > 10% CRA,No,No,Rollefson et al. 1985,,,,,,,
1,'Ain Ghazal,Jordan,31.98800,35.97600,Mediterranean,Mediterranean,Mesic,TransjordanianPlateau,UCR-1729,10850,610,,Charcoal,Unspecified,Unspecified ,Multi-phase settlement (structures etc.),Pre-Pottery Neolithic,LPPNB,Banadora: UCR-1724,TIA,Outlier #1c,Error value > 10% CRA,No,No,Flohr et al. 2016  Rollefson et al. 1985;,,,X,X,,,
1,'Ain Ghazal,Jordan,31.98800,35.97600,Mediterranean,Mediterranean,Mesic,TransjordanianPlateau,AA-5203,8200,75,,Charcoal,Unspecified,"mud plaster  South, 4454.073,  ; ",Multi-phase settlement (structures etc.),Late Pre-Pottery Neolithic,LPPNB,"Banning 2007: residual; Rollefson 1998: too old, intrusive ""old W""?",TIA,Outlier #1b,Intrusive material,No,No,Flohr et al. 2016; Banning 2007  Rollefson et al. 1992; Rollefson 1998,,X,X,X,X,,
1,'Ain Ghazal,Jordan,31.98800,35.97600,Mediterranean,Mediterranean,Mesic,TransjordanianPlateau,AA-5201,8235,70,,Charcoal,Unspecified,"stone wall mortar  South, 4453.130,  ; ",Multi-phase settlement (structures etc.),Late Pre-Pottery Neolithic,LPPNB,"Banning 2007: residual; Rollefson 1998: too old. Intrusive ""old W""?",TIA,Outlier #1b,Intrusive material,No,No,Flohr et al. 2016; Banning 2007  Rollefson et al. 1992; Rollefson 1998,,X,X,X,X,,
1,'Ain Ghazal,Jordan,31.98800,35.97600,Mediterranean,Mediterranean,Mesic,TransjordanianPlateau,AA-5202,8310,70,,Charcoal,Unspecified,"soil over basal clay  South, 4453.153,  ; ",Multi-phase settlement (structures etc.),Late Pre-Pottery Neolithic,LPPNB,"Banning 2007: residual; Rollefson 1998: too old. Intrusive ""old W""?",TIA,Outlier #1b,Intrusive material,No,No,Flohr et al. 2016; Banning 2007  Rollefson et al. 1992; Rollefson 1998,,X,X,X,X,,
1,'Ain Ghazal,Jordan,31.98800,35.97600,Mediterranean,Mediterranean,Mesic,TransjordanianPlateau,Beta-19905,10360,1300,,Charcoal,Unspecified,"exterior ash layer ; above basal clay ; Central, 3282.122,  ; ",Multi-phase settlement (structures etc.),Pre-Pottery Neolithic,LPPNB,Bta-1990 ,TIA,Outlier #1c,Error value > 10% CRA,No,No,Flohr et al. 2016  Rollefson et al. 1992; Rollefson 1998,,X,X,X,,,
1,'Ain Ghazal,Jordan,31.98800,35.97600,Mediterranean,Mediterranean,Mesic,TransjordanianPlateau,Erl-14766,5245,36,-22.4,Bone,Human,Trench section 4 (sq. 3071) ; AG 14C 11,Multi-phase settlement (structures etc.),Late Pre-Pottery Neolithic,LPPNB,intrusive in MPPNB layers?,TSL,Outlier #1b,Intrusive material,No,No,Zielhofer et al. 2012  Flohr et al. 2016,,,,,X,,
1,'Ain Ghazal,Jordan,31.98800,35.97600,Mediterranean,Mediterranean,Mesic,TransjordanianPlateau,AA-25424,8030,65,,charcoal/mortar,Unspecified,"wall mortar ; Central, 3876.128,  ; Tank Trench ; ",Multi-phase settlement (structures etc.),Late Pre-Pottery Neolithic,LPPNB,"Rollefson 1998: should be Yarmukian, contaminated?",Mixed materials,Outlier #1d,mixed 14C reservoirs,No,No,Rollefson 1998; Flohr et al. 2016,,X,X,X,X,,
