Aardsma 2001,"Aardsma, G. E., 2001. New radiocarbon dates from the reed mat from the Cave of the Treasure. Radiocarbon, 43, 1247–54.",,,,,,
Abuhelaleh et al. 2015,"Abuhelaleh, B., Al Nahar, M., Hohenstein, U.T., Berruti, G.L. and Cancellieri, E., 2015. An experimental study of bone artifacts from the Neolithic site of Tell Abu Suwwan (PPNB-PN), Jordan. Adumatu, 32, pp.7-20.",,,,,,
Adams et al. 2000,"Adams, R.B., Anderson, J.D., Grattan, J.P., Gilbertson, D.D., Rouse, L., Friedman, H.A., Homan, M.M. and Toland, H., 2010. Report on the first season of the Barqa landscape survey, South West Jordan. Annual of the Department of Antiquities of Jordan, 54, pp.95-120.",,,,,,
Aharoni and Amiran 1964  ,"Aharoni, Y. and Amiran, R., 1964. Excavations at Tel Arad: Preliminary Report on the First Season, 1962. Israel exploration journal, pp.131-147.",,,,,,
Akkermans 2004,"Akkermans, Peter M. M. G., 2004. Hunter-gatherer continuity: the transition from the Epipalaeolithic to the Neolithic in Syria. In: Olivier Aurenche, Marie Le Mière, and Paul Sanlaville (eds.), From the River to the Sea. The Palaeolithic and the Neolithic on the Euphrates and in the Northern Levant (1263: BAR International Series), 281-93.",,,,,,
Al-Bashaireh & Al-Muheisen 2011,"Al-Bashaireh, K. and Al-Muheisen, Z., 2011. Subsistence strategies and palaeodiet of Tell al-Husn, northern Jordan: nitrogen and carbon stable isotope evidence and radiocarbon dates. Journal of Archaeological Science, 38(10), 2606-2612.",,,,,,
Al-Bashaireh & Hodgins 2011,"Al-Bashaireh, K., and Hodgins, G.W., 2011. AMS 14C dating of organic inclusions of plaster and mortar from different structures at Petra-Jordan. Journal of Archaeological Science, 38(3), 485-491.",,,,,,
Al-Bashaireh 2013,"Al-Bashaireh, K., 2013. Plaster and mortar radiocarbon dating of Nabatean and Islamic structures, South Jordan. Archaeometry, 55(2), 329-354.",,,,,,
al-Nahar 2010,"Al-Nahar, M., 2010. Tell Abu Suwwan, A neolithic site in Jordan: Preliminary report on the 2005 and 2006 field seasons. Bulletin of the American Schools of Oriental Research, 357(1), pp.1-18.",,,,,,
al-Nahar 2015,"Al Nahar, M., & Kafafi, Z. (2015). THE YARMOUKIAN POTTERY ASSEMBLAGE OF TELL ABU SUWWAN, JORDAN. Mediterranean Archaeology and Archaeometry, 15(3), 57-57.",,,,,,
Ambers & Bowman 1994,"Ambers, J., and Bowman, S., 1994. British Museum natural radiocarbon measurements XXIII. Radiocarbon, 36(1), 95-111.",,,,,,
Ambers & Bowman 1998,"Ambers, J. and Bowman, S., 1998. Radiocarbon measurements from the British Museum: datelist XXIV. Archaeometry, 40(2), pp.413-435.",,,,,,
Ambers & Bowman 2003,"Ambers, J. and Bowman, S., 2003. Radiocarbon measurements from the British Museum: datelist XXVI. Archaeometry 45(3), 531-540.",,,,,,
Ambers et al. 1989,"Ambers, J., Matthews, K., and Bowman, S., 1989. British Museum natural radiocarbon measurements XXI. Radiocarbon, 31(1), 15-32.",,,,,,
Anfinset et al. 2011,"Anfinset, N., Taha, H., al-Zawahra, M. and Yasine, J., 2011. Societies in transition: contextualizing Tell el-Mafjar, Jericho. Culture, Chronology and the Chalcolithic. Levant Supplementary Series 9, 97-113.",,,,,,
Arranz-Otaegui et al. 2016,"Arranz-Otaegui, A., Colledge, S., Ibañez, J.J. and Zapata, L., 2016. Crop husbandry activities and wild plant gathering, use and consumption at the EPPNB Tell Qarassa North (south Syria). Vegetation history and archaeobotany 25(6), 629-645.",,,,,,
Asscher & Boaretto 2019,"Asscher, Y., and Boaretto, E., 2019. Absolute Time Ranges in the Plateau of the Late Bronze to Iron Age Transition and the Appearance of Bichrome Pottery in Canaan, Southern Levant. Radiocarbon, 61(1), 13-37.",,,,,,
Assher et al. 2015  ,"Asscher, Y., Lehmann, G., Rosen, S.A., Weiner, S. and Boaretto, E., 2015. Absolute dating of the Late Bronze to Iron Age transition and the appearance of Philistine culture in Qubur el-Walaydah, southern Levant. Radiocarbon 57(1), 77-97.",,,,,,
Avner & Carmi 2001,"Avner, U. and Carmi, I., 2001. Settlement Patterns in the Southern Levant Deserts During the 6th–3rd Millennia BC: a Revision Based on 14 C Dating. Radiocarbon 43(3), 1203-1216.",,,,,,
Avner 1984,"Avner, U., 1984. Ancient cult sites in the Negev and Sinai deserts. Tel Aviv, 11(2), pp.115-131.",,,,,,
Avner et al. 1994,"Avner, U., Carmi, I., and Segal, D., 1994. Neolithic to Bronze Age settlement of the Negev and Sinai in light of radiocarbon dating: A view from the Southern Negev. In: O. Bar-Yosef and R. S. Kra (eds.), Late Quaternary chronology and paleoclimates of the Eastern Mediterranean. Tucson, Arizona: Radiocarbon, 265-300.",,,,,,
Avni et al. 2011,"Avni, G., Dahari, U., & Kloner, A. (2011). The Necropolis of Bet Guvrin-Eleutheropolis. Israel Antiquities Authority.",,,,,,
Badreshany & Kamlah 2013,"Badreshany, K. and Kamlah, J., 2013. Middle Bronze Age pottery from Tell el-Burak, Lebanon. Berytus 53, 81-113.",,,,,,
Baird et al. 1992 ,"Baird, D., Garrard, A., Martin, L. and Wright, K., 1992. Prehistoric environment and settlement in the Azraq Basin: an interim report on the 1989 excavation season. Levant, 24(1), pp.1-31.",,,,,,
Balbo et al. 2012,"Balbo, A.L., Iriarte, E., Arranz, A., Zapata, L., Lancelotti, C., Madella, M., Teira, L., Jiménez, M., Braemer, F. and Ibáñez, J.J., 2012. Squaring the circle. Social and environmental implications of pre-pottery neolithic building technology at Tell Qarassa (South Syria). PloS one 7(7), p.e42109.",,,,,,
Banadora,"BANADORA. Banque Nationale de Données Radiocarbonne pour l'Europe et le Proche Orient, Centre de Datation par le Radiocarbonne [Internet]. Lyon: CNRS.  Available from: http://www.arar.mom.fr/banadora/  ",,,,,,
Bangsgaard et al. 2010,"Baadsgaard, Aubrey, M. Chazan, Linda Scott Cummings, and Joel C. Janetski. ""Natufian strategy shifts: evidence from Wadi Mataha 2, Petra, Jordan."" Eurasian Prehistory 7, no. 1 (2010): 7-27.",,,,,,
Banning & Najjar 1999,"Banning, E.B. and Najjar, M., 1999. Excavations at Tell Rakan, a Neolithic site in Wadi Ziqlab, Jordan. Neo-Lithics, 2(99), pp.1-3.",,,,,,
Banning 2007,"Banning, E. B., 2007. Wadi Rabah and related assemblages in the Southern Levant: Interpreting the radiocarbon evidence. Paléorient 33 (1), 77-101.",,,,,,
Banning et al. 1994,"Banning, E.B., Siggers, J. and Rahimi, D., 1994. The Late Neolithic of the southern Levant: hiatus, settlement shift or observer bias? The perspective from Wadi Ziqlab. Paléorient 33.1, 151-164.",,,,,,
Bar Adon 1980,"Bar-Adon, P., 1980, The Cave of the Treasure: the finds from the caves in Nahal Mishmar, Israel Exploration Society, Jerusalem.",,,,,,
Bar-Nathan & Mazor 1993,"Bar-Nathan, R. and Mazor, G., 1993. City center (south) and Tel Iztabba area. ESI, 11, pp.33-51.",,,,,,
Bar-Yosef & Alon 1988,"Bar-Yosef, O., 1988. Le Paléolithique d'Israël. L’ Anthropologie 92(3), 769-795.",,,,,,
Bar-Yosef & Belfer 1977,"Bar-Yosef, O., Belfer, A., Goren, A. and Smith, P., 1977. The Nawamis near'Ein Ḥuderah (Eastern Sinai). Israel exploration journal, pp.65-88.",,,,,,
Bar-Yosef & Goren 1973,"Bar-Yosef, O. and Goren, N., 1973. Natufian remains in Hayonim cave. Paléorient, pp.49-68.",,,,,,
Bar-Yosef & Phillips 1977,"Bar-Yosef, O. and J.L. Phillips 1977 Prehistory and Paleoenvironments in the Central Negev, Israel, edited by A.E. Marks. Vol. II. stitute of Archaeology, Hebrew University of Jerusalem.",,,,,,
Bar-Yosef & Valla 1979  ,"Bar-Yosef, O. and Valla, F.R., 1979. L'evolution du Natoufien nouvelles suggestions. Paléorient 5, 145-152.",,,,,,
Bar-Yosef & Vogel 1987,"Bar-Yosef, O. and Vogel, J.C., 1987. Relative and absolute chronology of the Epipalaeolithic in the southern Levant. Chronologies in the Near East, 219-46. ",,,,,,
Bar-Yosef 1981,"Bar-Yosef, O., 1981. The Epi-Palaeolithic complexes in the Southern Levant.  In:  J.  Cauvin & P. Sanlaville (eds.), Prehistoire du Levant, CNRS, Paris, 389-408.",,,,,,
Bar-Yosef 1994,"Bar-Yosef, O. 1994. The Lower Paleolithic of the Near East. Journal of World Prehistory 8:211–65",,,,,,
Bar-Yosef and Belfer-Cohen 1988,"Bar-Yosef, O. and Belfer-Cohen, A., 1988. The Early Upper Paleolithic in Levantine Caves. The Early Upper Paleolithic: Evidence from Europe and the Near East, 437, pp.23-41.",,,,,,
Bar-Yosef et al. 1977,"Bar-Yosef, O., Belfer, A., Goren, A. and Smith, P., 1977. The Nawamis near'Ein Ḥuderah (Eastern Sinai). Israel exploration journal, pp.65-88.",,,,,,
Bar-Yosef et al. 1991a,"Bar-Yosef, O., Gopher, A., Tchernov, E. and Kislev, M.E., 1991. Netiv Hagdud: An early Neolithic village site in the Jordan valley. Journal of Field Archaeology, 18(4), pp.405-424.",,,,,,
Barker & Mackey 1963,"Barker, H. and Mackey, J., 1968. British Museum natural radiocarbon measurements V. Radiocarbon, 10(1), pp.1-7.",,,,,,
Barker et al. 1969,"Barker, H., Burleigh, R. and Meeks, N., 1969. British Museum natural radiocarbon measurements VI. Radiocarbon, 11(2), pp.278-294.",,,,,,
Bartl 2018,"Bartl, K., 2018. Mushash 163: A Site of the 9th Millennium BCE in the Jordanian Badia. Results from the Investigations in 2016 and 2017.",,,,,,
Barzilai et al. 2017,"Barzilai, O., Rebollo, N., Nadel, D., Bocquentin, F., Yeshurun, R., Lengyel, G., Bermatov-Paz, G., and Boaretto, E., 2017. Radiocarbon dating of human burials from Raqefet Cave and contemporaneous Natufian traditions at Mount Carmel. Antiquity, 91(359), 1137-1154.",,,,,,
Baumgarten 2004  ,"Barker, H. and Mackey, J., 1968. British Museum natural radiocarbon measurements V. Radiocarbon, 10(1), pp.1-7.",,,,,,
Belfer-cohen & Goldberg 1982,"Belfer-Cohen, A., & Goldberg, P. (1982). An Upper Palaeolithic site in south central Sinai. Israel Exploration Journal, 185-189.",,,,,,
Belfer-Cohen & Goring-Morris 2005,"Belfer-Cohen, A. and Goring-Morris, A.N., 2005. Which way to look? conceptual frameworks for understanding Neolithic processes. Dialogue on the Early Neolithic origin of ritual centers. Neo-Lithics 2(05), pp.22-24. ",,,,,,
Valletta et al. 2021,"Valletta, F., Dag, I., & Grosman, L. (2021). Identifying local learning communities during the terminal palaeolithic in the southern levant: Multi-scale 3-D analysis of flint cores. Journal of Computer Applications in Archaeology, 4(1), 145-168.",,,,,,
Ben-Yosef et al. 2010,"Ben-Yosef, E., Levy, T.E., Higham, T., Najjar, M. and Tauxe, L., 2010. The beginning of Iron Age copper production in the southern Levant: new evidence from Khirbat al-Jariya, Faynan, Jordan. Antiquity, 84(325), pp.724-746.",,,,,,
Ben-Yosef et al. 2016,"Ben-Yosef, E., Gidding, A., Tauxe, L., Davidovich, U., Najjar, M. and Levy, T.E., 2016. Early Bronze Age copper production systems in the northern Arabah Valley: New insights from archaeomagnetic study of slag deposits in Jordan and Israel. Journal of Archaeological Science, 72, pp.71-84.",,,,,,
Betts 1988,"Betts, A., 1988. 1986 Excavations at Dhuweila, eastern Jordan: a preliminary report. Levant, 20(1), pp.7-21.",,,,,,
Betts 1989 ,"Betts, A. (1989). The Pre-Pottery Neolithic B period in Eastern Jordan. Paléorient, 147-153.",,,,,,
Betts 1992,"Betts, A. V. G. (1992), 'Eastern Jordan: Economic Choices and Site Location in the Neolithic Periods', The History and Archaeology of Jordan, IV, 111-14.",,,,,,
Betts 1998,"Betts, A. V. G.  (ed.), (1998), The Harra and the Hamad. Excavations and surveys in Eastern Jordan, Volume 1 (Sheffield Archaeological Monographs, 9; Sheffield: Sheffield Academic Press).",,,,,,
Betts et al. 2013,"Betts, A. V. G., et al. (eds.) (2013), The later prehistory of the Badia. Excavations and surveys in Eastern Jordan: volume 2 (Levant Supplementary Series, 11; Oxford: Oxbow Books).",,,,,,
Biran & Naveh 1993  ,"Biran, A., & Naveh, J. (1993). An aramaic stele fragment from Tel Dan. Israel Exploration Journal, 81-98.",,,,,,
Blackham 1997,"Blackham, M., 1997. Changing Settlement at Tabaqat al-Bûma in Wadi Ziqlab, Jordan: A Stratigraphic Analysis. In: Gebel H.G.K., Kafafi Z. and Rollefson G.O. (Eds.), The Prehistory of Jordan II. Perspectives from 1997. Berlin: ex oriente (Studies in Early Near Eastern Production, Subsistence and Environment 4), 345-360. ",,,,,,
Boaretto 2006,"Boaretto, E., 2006. Radiocarbon dates. In: I. Finkelstein, D. Ussishkin, B.  Halpern (Eds.), Megiddo IV: The 1998–2002 Seasons. Tel Aviv: Tel Aviv University, 552-557.",,,,,,
Boaretto 2015,"Boaretto, E., 2006. Radiocarbon dates. In: I. Finkelstein, D. Ussishkin, B.  Halpern (Eds.), Megiddo IV: The 1998–2002 Seasons. Tel Aviv: Tel Aviv University, 552-557.",,,,,,
Boaretto 2018,"Boaretto, E., 2018. Radiocarbon Dating of the Human Skeletal Remains from Area G. In: A. Gilboa, I. Sharon, J. R. Zorn, and S. Matskevich (Eds.), Excavations at Dor, Final Report: Volume IIB Area G, The Late Bronze and Iron Ages: Pottery, Artifacts, Ecofacts and Other Studies. Jerusalem: Printiv, 331-332.",,,,,,
Boaretto et al. 2005,"Boaretto, E., Jull, A.T., Gilboa, A., and Sharon, I., 2005. Dating the Iron Age I/II transition in Israel: first intercomparison results. Radiocarbon, 47(1), 39-55.",,,,,,
Boaretto et al. 2010a,"Boaretto, E., Bar-Yosef, O, Gopher, A., Goring-Morris, A. N., and Kozlowski, S. K., 2010a. Radiocarbon Chronology. In: O. Bar-Yosef, A. N. Goring-Morris, and A. Gopher (eds.), Gilgal: Early Neolithic occupations in the lower Jordan Valley: the excavations of Tamar Noy. Oakville CT: Oxbow Books Limited, 33-38. ",,,,,,
Boaretto et al. 2010b,"Boaretto, E., Finkelstein, I. and Shahack-Gross, R., 2010b. Radiocarbon results from the Iron IIA site of Atar Haroa in the Negev Highlands and their archaeological and historical implications. Radiocarbon 52(1), 1-12.",,,,,,
